رقم الطريق,اسم الطريق عربي,اتجاه الطريق عربي,اتجاه الطريق انجليزي,التصنيف الهندسي للطريق عربي,التصنيف الهندسي للطريق انجليزي,ملكية الطريق عربي,ملكية الطريق انجليزي,التصنيف الوظيفي للطريق عربي,التصنيف الوظيفي للطريق انجليزي,حالة الطريق عربي,حالة الطريق انجليزي,الطول الهندسي الطريق,المنطقة
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,3.076009856061007,عسير
211,-999,رئيسي,Main,مزدوج,Double,وزارة الشؤون البلدية إلى وزارة النقل,MOMRA TO MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,5.123700494937262,عسير
211,-999,رئيسي,Main,مفرد,Single,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.155979411792741,مكة المكرمة
177,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.9145289496931296,نجران
177,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.3350651954935421,الرياض
177,نجران / السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,41.247908865915775,نجران
177,نجران / السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,32.0823644503425,نجران
177,نجران / السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,60.83768476302426,نجران
177,نجران \ السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,24.786498258572056,نجران
177,نجران \ السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,6.502052794553027,نجران
177,نجران \ السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.3268186653995578,نجران
177,نجران \ السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,21.97391232692211,نجران
177,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.07631374515552168,نجران
177,نجران \ السليل,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,1.7182828988084453,نجران
177,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,49.311700642710626,الرياض
177,طريق نجران,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,49.194954435931976,الرياض
177,-999,رئيسي,Main,مزدوج,Double,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,2.850680480855416,الرياض
177,-999,مخرج,Ramp,مخرج او دوار,Exit or Roundabout,وزارة النقل,MOT,ثانوي,Arterial,تحت الصيانة,Under Maintenance,0.9040193628199296,نجران
